gene,mean_exprs,bs,bs_conf_ul,bs_conf_ll
Dnajc13,2.307142857,17.09161866,28.9263799,10.75509338
Dnajc14,2.363636364,11.27392749,20.7644501,6.18309258
Dnajc19,6.004524887,3.557986159,4.34328759,2.91974358
Dnajc2,2.223255814,4.701607999,7.16354922,3.01096762
Dnajc25,1.592417062,1.677812693,2.25610273,1.30260939
Dnajc3,5.465116279,4.713658536,7.81218593,3.74857839
Dnajc4,2.013333333,11.11904227,18.5081918,6.82360148
Dnajc5,1.522167488,1.76345499,3.24587306,1.25745658
Dnajc7,4.438679245,8.549764662,11.60530484,6.19656201
Dnajc8,6.625570776,11.11734971,16.0636465,7.84326111
Dnajc9,2.153846154,6.989564789,9.99517733,4.99011041
Dnlz,6.200913242,4.984393286,6.06098902,4.13811295
Dnm1l,3.215686275,3.420173091,4.30574806,2.73260431
Dnm2,3.488584475,8.30017239,12.05611262,5.64962524
Dnmt1,1.660098522,6.177383289,9.20616646,4.10218279
Dnpep,9.959641256,6.612037801,7.78824106,5.54805146
Dock1,1.51552795,4.792038728,6.71671187,3.48776195
Dock5,1.5,4.436663725,5.14592259,2.96292149
Dock7,1.577464789,2.209181916,2.88004389,1.66481475
Dok1,2.089201878,3.71822731,5.80152743,2.85566168
Dpcd,2.547511312,2.239314706,2.82298391,1.77229906
Dpf2,1.795348837,1.738706472,2.27221573,1.33152685
Dph3,4.53,6.689934343,9.17550333,4.68897041
Dph5,1.130232558,1.858737843,2.22402102,1.206765
Dpp3,5.449074074,7.530349097,9.24457387,5.8387662
Dpp7,1.737089202,4.663817664,6.84662484,3.07711589
Dpp8,1.078431373,2.152170472,4.03376515,1.29695566
Dpp9,1.226744186,5.234459498,8.56176768,3.15601876
Dpy19l1,2.058558559,2.327338456,2.87424135,1.76060191
Dpy19l3,1.365296804,2.112013571,2.83255363,1.63523061
Dpy30,3.823809524,7.919148944,11.75096478,5.19452241
Dpysl3,1.994974874,8.451481334,11.90084378,5.91127198
Drap1,4.330357143,3.611897882,4.44902208,2.95699346
Drg1,3.66367713,3.241444417,4.00578612,2.63358394
Drg2,2.8,2.978154342,4.7506144,2.07923121
Dscr3,1.780269058,2.969979988,5.98308622,1.77702747
Dse,1.658986175,1.63443804,3.20280276,1.03698042
Dst,5.54954955,4.394638903,6.1966436,2.99246366
